year,real_disposable_personal_income_per_capita,personal_saving_rate,household_debt_service_ratio,student_loans_owned_securitized,food_at_home_cpi,gasoline_cpi,building_permits,rental_vacancy_rate,mortgage_30yr_rate,real_disposable_personal_income_per_capita_index,food_at_home_cpi_index,gasoline_cpi_index,building_permits_index
2012,41703.583333333336,7.858333333333333,12.027066,1025284.7000000001,231.74966666666668,311.29575,828.5,8.675,3.6574999999999998,311.522994945345,736.4925847457628,1178.7784790154624,82.57475083056478
2013,40798.25,4.966666666666667,11.905996250000001,1117838.095,233.85483333333332,302.37983333333335,988.0,8.325,3.9755769230769227,304.7602151340853,743.1827330508473,1145.0167245187758,98.47176079734218
2014,41875.166666666664,5.466666666666666,11.6959535,1208673.855,239.44933333333333,290.2775833333333,1052.0833333333333,7.550000000000001,4.168867924528302,312.80471103807173,760.9618644067796,1099.1893341748187,104.85880398671095
2015,43178.916666666664,5.8500000000000005,11.59680025,1295656.105,242.25008333333335,211.44716666666667,1177.4166666666667,7.05,3.8505769230769227,322.5436368616319,769.8625529661017,800.6834963710951,117.35049833887044
2016,43659.333333333336,5.358333333333333,11.79124625,1381828.1575,239.07141666666666,187.532,1205.6666666666667,6.85,3.6540384615384616,326.13231742237497,759.7608580508474,710.1243294414643,120.16611295681064
2017,44709.583333333336,5.758333333333333,11.778964,1463740.925,238.59408333333332,212.11991666666665,1286.25,7.175,3.9898076923076924,333.97761509922566,758.243908898305,803.2309876932786,128.19767441860466
2018,46057.083333333336,6.433333333333334,11.63222925,1545421.35,239.6593333333333,240.45725000000002,1327.8333333333333,6.875,4.544615384615384,344.0433505141805,761.6292372881355,910.5355001577786,132.34219269102988
2019,47250.5,7.308333333333334,11.62526675,1618489.9125,241.76675,231.86749999999998,1386.1666666666667,6.75,3.935769230769231,352.9580936729663,768.3265360169491,878.0088355948247,138.156146179402
2020,50062.333333333336,15.091666666666667,10.444693749999999,1683701.6925,250.21283333333335,194.98141666666666,1478.25,6.3,3.111698113207547,373.9623017355146,795.167902542373,738.3329125907227,147.33388704318938
2021,51936.083333333336,11.325000000000001,9.78269025,1727658.2650000001,258.88558333333333,264.19275,1735.4166666666667,6.1,2.957692307692308,387.959089664102,822.7296080508473,1000.4143262858946,172.96511627906978
2022,48713.5,3.35,10.615453,1754317.98,288.47108333333335,346.86525,1684.1666666666667,5.8,5.344038461538461,363.88660640920295,916.7513241525423,1313.4689176396341,167.85714285714286
2023,51076.75,5.591666666666666,10.74623375,1749466.9849999999,302.90883333333335,311.71166666666664,1515.9166666666667,6.475,6.806730769230769,381.53992679465154,962.6340042372881,1180.3534237929946,151.08803986710964
2024,52114.333333333336,5.433333333333334,11.084841,1761434.91,306.55400000000003,295.7665,1473.9166666666667,6.75,6.721153846153846,389.29060531361273,974.2182203389831,1119.9741243294416,146.90199335548172
