year,cpi_all,real_median_family_income,avg_hourly_earnings_nominal,median_home_price_nominal,shelter_cpi,rent_cpi,medical_cpi,education_childcare_cpi,fertility_rate,female_labor_force_participation,young_adults_living_with_parents_pct,median_age_first_marriage,median_age_first_marriage_men,median_age_first_marriage_women,avg_hourly_earnings_real_2024,median_home_price_real_2024,home_price_to_family_income,home_price_work_years,income_index,home_price_index,rent_index,medical_index,education_childcare_index,wage_index,rent_to_wage_index,medical_to_wage_index,education_childcare_to_wage_index
2011,224.923,82110.0,19.4375,224900.0,251.64475000000002,253.63816666666665,400.24125000000004,597.2245833333333,1.8945,58.11666666666667,30.728014968532065,27.4,28.4,26.4,27.109313474314916,313666.08876519225,3.820071718002585,5.562700964630225,168.39622641509433,169.69640362283582,654.6909012690901,1798.1636091351554,998.9817396152773,105.8100618219312,81.6093356532408,212.26160318427128,301.98586263782727
2012,229.58608333333333,82230.0,19.724166666666665,244400.0,257.0805,260.3668333333333,414.9234166666667,621.0050833333333,1.8805,57.675000000000004,31.601379581078426,27.6,28.6,26.6,26.950391907586344,333939.3695828689,4.0610406127066625,5.9571591533229125,168.64232977850696,180.6644456510288,672.0589374058937,1864.1261699737925,1038.7595483691107,105.189776811161,82.55676009842988,216.8499278689965,309.44668450507413
2013,232.95174999999998,85470.0,20.1325,266225.0,263.0503333333333,267.7245833333333,425.1325,643.6989166666666,1.8575,57.199999999999996,31.22300554518349,27.8,29.0,26.6,27.11088601144515,358504.68786275847,4.1945090425033165,6.357520847462484,175.28712059064807,193.95452167537132,691.0507636050763,1909.992512167727,1076.7196821856703,105.81619957422525,83.16798644220525,217.67903279539564,314.24936789979563
2014,236.715,85760.0,20.595833333333335,285775.0,270.50933333333336,276.1619166666667,435.306,664.78625,1.8625,56.98333333333333,54.88185317934422,28.15,29.3,27.0,27.29389839105629,378713.19341472513,4.415965408287374,6.67085544437355,175.88187038556194,204.8875196550414,712.8292105829212,1955.6989891426429,1111.992612210761,106.53051317051683,83.85907408602809,217.87393876090508,317.24296616217174
2015,237.00175000000002,91060.0,21.025833333333335,294150.0,278.8020833333333,286.03191666666663,446.76174999999995,688.7949166666667,1.8435,56.699999999999996,31.54629008177298,28.15,29.2,27.1,27.830028129773538,389340.2294497826,4.275644953325089,6.725929336012171,186.75143560295325,210.63684947076626,738.3056571305656,2007.1662298764502,1152.152076944522,108.62307522864477,85.07989047973042,219.03462124506993,321.9778960221879
2016,240.00541666666666,92830.0,21.53916666666667,305125.0,288.233,296.82041666666663,463.67816666666664,708.12,1.8205,56.791666666666664,32.08798692454372,28.45,29.5,27.4,28.152685838108987,398812.47029146913,4.296159326634376,6.810602926689898,190.38146021328959,215.76142385944635,766.1529361152935,2083.166604268064,1184.4772790632842,109.88243696418422,86.18476803591679,221.9104479443502,323.1225788166988
2017,245.121,95520.0,22.043333333333333,322425.0,297.8086666666667,308.14258333333333,475.3174166666667,724.6620833333333,1.7655,57.041666666666664,31.491434558393316,28.45,29.5,27.4,28.210366528730255,412629.40093872003,4.319822036628141,7.032149670229967,195.8982772764561,223.2365176739384,795.3777156377715,2135.45825533508,1212.147337608029,110.10756983028762,87.42589654386394,222.2779896892451,323.1079267153415
2018,251.0995,96730.0,22.700833333333335,325275.0,307.65633333333335,319.28875,484.7040833333333,741.2754166666667,1.7295,57.09166666666667,31.874250124698367,28.8,29.8,27.8,28.360111423846813,406365.4892283736,4.201028525052968,6.888831314788511,198.37981952420017,219.8476805381125,824.1482039148204,2177.629726694122,1239.936576526345,110.69203747550533,87.96450434680018,220.10245084380608,320.94243240289484
2019,255.65258333333335,104200.0,23.50583333333333,320250.0,318.04791666666665,331.12375000000003,498.4019166666667,762.7726666666667,1.706,57.43333333333334,31.577884304642893,28.9,29.8,28.0,28.842801924769212,392962.34196081856,3.7712316886834794,6.550133491141043,213.6997538966366,212.59644755502146,854.6967089696709,2239.169973792587,1275.8951770281574,112.57602143518208,88.10089549731498,218.57176109470123,318.9398692957613
2020,258.85575,101200.0,24.68416666666667,328150.0,325.901,341.46775,518.8560833333333,777.7311666666666,1.6415,56.208333333333336,33.58328509309245,29.3,30.5,28.1,29.913872220446247,397673.4277359752,3.9295793254543003,6.391320606742097,207.54716981132074,215.14519076264708,881.3966444396644,2331.0643953575436,1300.9163646501254,116.7565040692627,86.51608651856613,216.67980851185015,309.6708850865275
2021,270.97341666666665,101700.0,25.91,383000.0,334.584,349.13466666666665,525.2645833333333,788.6827499999999,1.664,56.083333333333336,32.896640302845945,29.450000000000003,30.3,28.6,29.995265212054935,443388.1349369757,4.359765338613331,7.106700709556749,208.57260049220673,239.8772918170522,901.1864917186491,2359.855859228753,1319.2351547253973,117.07418815529267,84.27353351175118,208.97806623061527,299.1742916495811
2022,292.62641666666667,98870.0,27.564999999999998,432950.0,354.23766666666666,370.199,546.5509166666667,810.0383333333333,1.6565,56.775,31.351057319643704,29.15,30.1,28.2,29.5499294379039,464126.3177994012,4.694308868204725,7.551207635100253,202.76866283839215,251.09685037143828,955.5577543557755,2455.4889554473975,1354.9567884025648,115.33600301684996,83.9929602697452,204.39140565631413,288.8264198266668
2023,304.70300000000003,103400.0,28.9175,426525.0,380.6375,399.64258333333333,549.08525,836.5080833333333,1.6165,57.324999999999996,32.363129603822415,29.299999999999997,30.2,28.4,29.771176308022348,439116.48568442056,4.24677452306016,7.091211071283691,212.05906480721902,237.56628804055083,1031.557539255754,2466.8749532010474,1399.2329244494006,116.1995492304906,86.4324168076265,195.7352448424406,284.3143238031389
2024,313.6981666666667,105800.0,30.121666666666666,418975.0,400.56675,420.05958333333336,563.8523333333334,863.1815,1.6265,57.5,32.406415680394154,29.4,30.2,28.6,30.121666666666666,418975.0,3.9600661625708886,6.687222546169594,216.98113207547172,226.66954846082007,1084.2579049257904,2533.219019093972,1443.8497351547255,117.56754427585696,87.2162766950081,192.96404035420716,281.65175904874593
